Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Ligand Concentration,Conc unit,Measured pAkt:10min (a.u.),Measured pAkt:30min (a.u.),Measured pAkt:90min (a.u.),Measured pErk:10min (a.u.),Measured pErk:30min (a.u.),Measured pErk:90min (a.u.),Measured LigRespELISA pAKT (a.u.),Measured LigRespELISA pERK (a.u.)
50029,MCF7,200852,BTC,1,ng/ml,1419.591,2493.334,889.109,31767.334,23408.673,7535.649,,
50029,MCF7,200852,BTC,100,ng/ml,4851.874,3374.849,2134.308,58976.086,34863.82,6781.205,,
50057,SK-BR-3,200852,BTC,1,ng/ml,18514.533,19358.463,11345.958,39106.438,35926.449,28516.103,,
50057,SK-BR-3,200852,BTC,100,ng/ml,47781.593,48534.189,47097.89,41759.367,38693.314,30672.047,,
50058,MDA-MB-231,200852,BTC,1,ng/ml,4575.291,1680.18,1292.397,13147.218,10582.892,7578.675,,
50058,MDA-MB-231,200852,BTC,100,ng/ml,6571.238,4457.052,2204.368,17361.845,9114.474,5216.424,,
50091,AU565,200852,BTC,1,ng/ml,10613.434,13577.418,8561.148,37575.857,37321.751,26120.44,,
50091,AU565,200852,BTC,100,ng/ml,30952.362,40943.11,33568.541,43092.578,44078.436,34900.968,,
50105,BT-20,200852,BTC,1,ng/ml,15863.295,14866.243,13798.655,27362.411,22655.705,20268.439,,
50105,BT-20,200852,BTC,100,ng/ml,16165.292,17211.125,16012.555,28628.63,26489.299,22170.676,,
50106,BT-474,200852,BTC,1,ng/ml,24288.29,24470.229,21883.935,26887.723,20365.052,15684.418,,
50106,BT-474,200852,BTC,100,ng/ml,72916.744,80638.605,91682.678,44219.746,32925.933,22712.677,,
50107,BT-483,200852,BTC,1,ng/ml,3536.114,3326.446,2327.617,20624.927,8597.256,2457.331,,
50107,BT-483,200852,BTC,100,ng/ml,4760.126,5352.074,5524.789,31020.693,5778.891,1764.761,,
50108,BT-549,200852,BTC,1,ng/ml,12028.05,10238.114,10303.27,9196.716,4905.807,6372.028,,
50108,BT-549,200852,BTC,100,ng/ml,16462.19,14367.214,9698.081,19620.858,9208.349,3608.045,,
50131,CAMA-1,200852,BTC,1,ng/ml,6896.746,8283.486,5580.612,15071.785,15929.645,6850.605,,
50131,CAMA-1,200852,BTC,100,ng/ml,9706.136,12952.697,9920.952,32481.766,13201.423,7443.811,,
50206,HCC1395,200852,BTC,1,ng/ml,17982.03,21119.317,21520.511,17216.659,15264.844,10213.034,,
50206,HCC1395,200852,BTC,100,ng/ml,22074.06,23737.14,17193.48,19190.918,11237.888,2294.372,,
50207,HCC1419,200852,BTC,1,ng/ml,41592.045,32725.489,19038.222,35396.648,23647.268,26373.51,,
50207,HCC1419,200852,BTC,100,ng/ml,72871.271,67179.753,53970.826,46177.234,33189.973,38669.181,,
50208,HCC1428,200852,BTC,1,ng/ml,1040.119,1040.119,1040.119,33322.217,26045.99,11111.237,,
50208,HCC1428,200852,BTC,100,ng/ml,1040.119,1040.119,1040.119,41929.923,19070.173,4399.161,,
50210,HCC1569,200852,BTC,1,ng/ml,34522.773,38422.353,27777.644,42118.484,33646.964,19617.691,,
50210,HCC1569,200852,BTC,100,ng/ml,90291.841,93973.081,76112.419,45621.462,35677.722,22498.741,,
50211,HCC1806,200852,BTC,1,ng/ml,14948.854,19636.71,23933.009,45527.826,43370.402,41817.093,,
50211,HCC1806,200852,BTC,100,ng/ml,19551.589,17070.28,15311.905,61933.929,42465.645,32102.429,,
50212,HCC1937,200852,BTC,1,ng/ml,12673.94,6572.695,7649.767,35858.909,25363.861,24995.12,,
50212,HCC1937,200852,BTC,100,ng/ml,17597.279,12894.81,6219.48,39878.218,30236.437,13936.495,,
50213,HCC1954,200852,BTC,1,ng/ml,6134.636,6405.993,6963.849,38059.234,34151.745,32016.268,,
50213,HCC1954,200852,BTC,100,ng/ml,11956.796,10161.379,13331.853,43417.07,35536.939,30702.386,,
50214,HCC202,200852,BTC,1,ng/ml,59839.409,60497.508,59364.093,26544.759,29695.863,23443.054,,
50214,HCC202,200852,BTC,100,ng/ml,70790.031,68325.136,67558.38,50186.755,36367.614,17645.077,,
50216,HCC38,200852,BTC,1,ng/ml,8269.334,7884.651,6874.989,36951.554,30433.042,22836.371,,
50216,HCC38,200852,BTC,100,ng/ml,14049.07,8964.399,4969.094,50815.859,28885.709,7518.107,,
50219,HCC70,200852,BTC,1,ng/ml,29259.045,29009.874,30639.504,25546.176,14130.255,14388.206,,
50219,HCC70,200852,BTC,100,ng/ml,37358.813,43271.514,33369.148,40459.261,16355.364,6977.782,,
50238,Hs 578T,200852,BTC,1,ng/ml,33695.477,26356.625,20929.602,44185.963,29048.985,19043.121,,
50238,Hs 578T,200852,BTC,100,ng/ml,82802.686,66538.012,24366.152,66496.476,45281.465,13132.184,,
50327,MDA-MB-134-VI,200852,BTC,1,ng/ml,842.221,842.221,842.221,2032.389,2231.254,1016.099,,
50327,MDA-MB-134-VI,200852,BTC,100,ng/ml,842.221,842.221,842.221,1399.108,1136.328,1373.375,,
50328,MDA-MB-157,200852,BTC,1,ng/ml,2958.924,2346.892,1069.932,14344.158,18100.766,13947.567,,
50328,MDA-MB-157,200852,BTC,100,ng/ml,4894.486,2442.831,1069.932,24254.795,15446.279,3311.578,,
50329,MDA-MB-175-VII,200852,BTC,1,ng/ml,12347.865,14742.323,11153.542,29898.545,32431.819,30030.455,,
50329,MDA-MB-175-VII,200852,BTC,100,ng/ml,13599.04,13484.385,9780.525,32395.183,38740.374,36410.416,,
50331,MDA-MB-361,200852,BTC,1,ng/ml,2907.248,2787.558,1954.614,3842.096,1597.883,166.17,,
50331,MDA-MB-361,200852,BTC,100,ng/ml,6468.329,8133.2,9201.25,4390.595,2181.436,468.051,,
50332,MDA-MB-415,200852,BTC,1,ng/ml,26627.516,39826.016,37625.411,7304.501,6121.884,3399.479,,
50332,MDA-MB-415,200852,BTC,100,ng/ml,43184.533,44499.724,46270.452,13755.868,8117.293,5412.661,,
50333,MDA-MB-436,200852,BTC,1,ng/ml,9394.674,9661.085,7318.739,16940.497,19037.611,16259.779,,
50333,MDA-MB-436,200852,BTC,100,ng/ml,11026.147,10465.546,8062.004,20928.982,21135.974,13244.476,,
50334,MDA-MB-453,200852,BTC,1,ng/ml,8472.443,7565.318,5523.858,7425.587,5270.919,1611.419,,
50334,MDA-MB-453,200852,BTC,100,ng/ml,19001.523,16763.067,19451.208,5109.579,3285.878,3164.413,,
50335,MDA-MB-468,200852,BTC,1,ng/ml,41208.423,39864.364,34445.837,34314.982,27395.118,24762.511,,
50335,MDA-MB-468,200852,BTC,100,ng/ml,54376.255,57795.192,53830.234,55477.687,49117.428,29503.859,,
50541,T47D,200852,BTC,1,ng/ml,19844.61,19289.863,20661.425,36551.672,33580.42,33706.603,,
50541,T47D,200852,BTC,100,ng/ml,35888.873,31794.442,29451.758,40964.119,36041.339,26366.255,,
50556,UACC-812,200852,BTC,1,ng/ml,3720.819,3961.791,4175.956,29480.266,30677.581,34082.131,,
50556,UACC-812,200852,BTC,100,ng/ml,10910.902,18486.206,42870.153,47637.576,47945.784,49003.303,,
50557,UACC-893,200852,BTC,1,ng/ml,36397.279,31726.373,33384.816,6606.524,5992.889,4911.026,,
50557,UACC-893,200852,BTC,100,ng/ml,32218.666,46716.086,24839.184,5819.014,8555.314,3163.122,,
50574,ZR-75-1,200852,BTC,1,ng/ml,16595.973,10895.44,7200.493,50484.335,36141.203,25129.474,,
50574,ZR-75-1,200852,BTC,100,ng/ml,44341.938,28026.9,18967.165,76931.365,31598.978,6822.402,,
50575,ZR-75-30,200852,BTC,1,ng/ml,8369.154,8675.238,10958.371,20114.747,17167.959,19000.941,,
50575,ZR-75-30,200852,BTC,100,ng/ml,46841.593,64109.417,92257.535,23934.285,27260.356,31753.639,,
50576,184B5,200852,BTC,1,ng/ml,18092.73,8378.526,6451.324,36951.948,35705.35,26745.578,,
50576,184B5,200852,BTC,100,ng/ml,33122.964,18526.695,11597.271,39408.793,33496.509,23908.868,,
50578,HCC1187,200852,BTC,1,ng/ml,24184.87,24302.526,30036.843,17017.034,14477.752,15544.553,,
50578,HCC1187,200852,BTC,100,ng/ml,59607.127,46955.022,33752.679,26148.937,22663.068,14768.934,,
50579,HCC1500,200852,BTC,1,ng/ml,3279.211,1244.241,1244.241,3077.164,3077.164,3077.164,,
50579,HCC1500,200852,BTC,100,ng/ml,1244.241,1244.241,1874.777,7425.961,3077.164,3077.164,,
50583,MCF 10A,200852,BTC,1,ng/ml,10497.901,7147.658,5482.148,23436.473,15785.875,8656.817,,
50583,MCF 10A,200852,BTC,100,ng/ml,25167.798,11113.068,8969.238,25705.103,12271.178,10520.168,,
50584,MCF 10F,200852,BTC,1,ng/ml,4577.524,3501.819,3330.132,24092.952,12817.285,11646.164,,
50584,MCF 10F,200852,BTC,100,ng/ml,7048.327,3494.481,4029.077,30164.034,13407.507,6934.726,,
51089,MCF12A,200852,BTC,1,ng/ml,2724.817,2566.409,1201.994,8932.52,11274.419,12310.097,,
51089,MCF12A,200852,BTC,100,ng/ml,3329.079,2242.6,2281.386,22561.035,18924.377,18618.253,,
50029,MCF7,200863,EFNA1,1,ng/ml,889.109,889.109,889.109,248.778,248.778,248.778,,
50029,MCF7,200863,EFNA1,100,ng/ml,889.109,889.109,2009.771,248.778,248.778,1023.04,,
50057,SK-BR-3,200863,EFNA1,1,ng/ml,9869.473,9724.121,9975.029,2173.008,2173.008,3513.374,,
50057,SK-BR-3,200863,EFNA1,100,ng/ml,10600.148,9045.898,8547.212,2173.008,2173.008,2173.008,,
50058,MDA-MB-231,200863,EFNA1,1,ng/ml,1935.507,547.073,2250.923,31.585,31.585,31.585,,
50058,MDA-MB-231,200863,EFNA1,100,ng/ml,1834.066,1335.934,3401.274,156.951,31.585,511.487,,
50091,AU565,200863,EFNA1,1,ng/ml,8372.353,7276.502,8739.071,10002.521,9011.762,8689.6,,
50091,AU565,200863,EFNA1,100,ng/ml,10234.371,9034.326,12291.979,12988.71,8773.518,11349.52,,
50105,BT-20,200863,EFNA1,1,ng/ml,7503.134,7955.962,8973.423,530.788,531.019,1515.357,,
50105,BT-20,200863,EFNA1,100,ng/ml,7727.081,7973.456,10159.994,1164.096,315.278,1596.867,,
50106,BT-474,200863,EFNA1,1,ng/ml,21314.739,20951.604,24432.653,8793.791,8597.301,8683.405,,
50106,BT-474,200863,EFNA1,100,ng/ml,17009.91,18175.023,20997.437,10464.402,8484.108,8300.754,,
50107,BT-483,200863,EFNA1,1,ng/ml,3634.925,2622.928,2353.851,281.972,281.972,281.972,,
50107,BT-483,200863,EFNA1,100,ng/ml,3602.158,2170.111,3974.435,423.759,281.972,602.386,,
50108,BT-549,200863,EFNA1,1,ng/ml,11553.075,10089.801,10629.442,2694.208,3305.749,3366.017,,
50108,BT-549,200863,EFNA1,100,ng/ml,8900.26,9553.485,10240.462,2776.988,3045.1,3224.398,,
50131,CAMA-1,200863,EFNA1,1,ng/ml,6451.874,4547.549,4177.498,70.213,70.213,180.596,,
50131,CAMA-1,200863,EFNA1,100,ng/ml,4183.902,5782.539,5459.666,70.213,70.213,70.213,,
50206,HCC1395,200863,EFNA1,1,ng/ml,10585.239,9792.46,11047.811,2294.372,2294.372,2294.372,,
50206,HCC1395,200863,EFNA1,100,ng/ml,11831.748,10289.757,11070.747,2294.372,2294.372,2294.372,,
50207,HCC1419,200863,EFNA1,1,ng/ml,25646.879,17368.104,32085.625,20160.502,21692.322,23520.733,,
50207,HCC1419,200863,EFNA1,100,ng/ml,25318,27605.376,30594.285,20197.186,21656.7,26195.18,,
50208,HCC1428,200863,EFNA1,1,ng/ml,1040.119,1040.119,1040.119,103.861,103.861,103.861,,
50208,HCC1428,200863,EFNA1,100,ng/ml,1040.119,1040.119,1673.567,103.861,103.861,1011.087,,
50210,HCC1569,200863,EFNA1,1,ng/ml,16615.592,14980.312,13610.909,3364.016,3445.245,3655.771,,
50210,HCC1569,200863,EFNA1,100,ng/ml,18630.07,13026.685,24511.862,7511.093,3378.605,6572.435,,
50211,HCC1806,200863,EFNA1,1,ng/ml,6654.773,5611.942,6224.285,2649.338,2649.338,2649.338,,
50211,HCC1806,200863,EFNA1,100,ng/ml,7653.921,5232.263,6014.584,2649.338,2649.338,2649.338,,
50212,HCC1937,200863,EFNA1,1,ng/ml,2035.066,804.541,1481.052,343.118,343.118,518.129,,
50212,HCC1937,200863,EFNA1,100,ng/ml,1929.111,1299.374,3399.279,343.118,343.118,1373.011,,
50213,HCC1954,200863,EFNA1,1,ng/ml,4351.13,3768.844,4581.097,9837.19,6689.982,7878.172,,
50213,HCC1954,200863,EFNA1,100,ng/ml,6211.662,5634.826,5748.901,12509.592,9064.233,11703.414,,
50214,HCC202,200863,EFNA1,1,ng/ml,66581.849,54527.679,55428.795,3952.411,3966.478,3967.361,,
50214,HCC202,200863,EFNA1,100,ng/ml,55459.16,63830.772,69823.324,3761.357,4531.819,3981.723,,
50216,HCC38,200863,EFNA1,1,ng/ml,2852.677,3405.857,2974.405,406.359,414.754,276.655,,
50216,HCC38,200863,EFNA1,100,ng/ml,2204.907,2942.261,2859,1848.043,845.07,508.399,,
50219,HCC70,200863,EFNA1,1,ng/ml,9786.252,9260.609,10622.234,389.868,389.868,389.868,,
50219,HCC70,200863,EFNA1,100,ng/ml,10546.55,10773.948,10893.868,389.868,389.868,389.868,,
50238,Hs 578T,200863,EFNA1,1,ng/ml,3642.088,3124.554,3528.336,4801.56,4746.669,5772.807,,
50238,Hs 578T,200863,EFNA1,100,ng/ml,4139.336,3076.478,4010.114,4369.595,4954.106,6814.996,,
50327,MDA-MB-134-VI,200863,EFNA1,1,ng/ml,842.221,842.221,842.221,1264.696,1313.649,1392.705,,
50327,MDA-MB-134-VI,200863,EFNA1,100,ng/ml,842.221,842.221,1285.954,2124.491,1277.862,1776.072,,
50328,MDA-MB-157,200863,EFNA1,1,ng/ml,1069.932,1069.932,1069.932,252.457,252.457,252.457,,
50328,MDA-MB-157,200863,EFNA1,100,ng/ml,1069.932,1069.932,1624.715,252.457,252.457,252.457,,
50329,MDA-MB-175-VII,200863,EFNA1,1,ng/ml,12580.981,14338.861,15575.982,23208.366,25792.439,27398.439,,
50329,MDA-MB-175-VII,200863,EFNA1,100,ng/ml,13202.342,13733.88,16500.203,24698.107,24056.978,27136.601,,
50331,MDA-MB-361,200863,EFNA1,1,ng/ml,1912.885,1179.839,1249.048,166.17,166.17,166.17,,
50331,MDA-MB-361,200863,EFNA1,100,ng/ml,3097.164,751.209,1880.825,1900.278,166.17,166.17,,
50332,MDA-MB-415,200863,EFNA1,1,ng/ml,33074.367,38435.355,40764.461,127.925,126.56,43.437,,
50332,MDA-MB-415,200863,EFNA1,100,ng/ml,33338.412,42871.081,34480.021,43.437,149.826,480.819,,
50333,MDA-MB-436,200863,EFNA1,1,ng/ml,2943.919,1879.3,2420.322,2360.487,2360.487,2360.487,,
50333,MDA-MB-436,200863,EFNA1,100,ng/ml,3378.848,1185.834,3080.968,2360.487,2360.487,2360.487,,
50334,MDA-MB-453,200863,EFNA1,1,ng/ml,6604.915,5437.849,5896.699,1608.226,926.092,1780.407,,
50334,MDA-MB-453,200863,EFNA1,100,ng/ml,6319.897,4793.082,7323.606,1390.681,592.265,2565.711,,
50335,MDA-MB-468,200863,EFNA1,1,ng/ml,20596.629,17513.681,21198.529,3584.131,4459.732,3662.141,,
50335,MDA-MB-468,200863,EFNA1,100,ng/ml,20548.923,19098.725,22734.64,4428.818,3264.18,4204.548,,
50541,T47D,200863,EFNA1,1,ng/ml,6445.971,5535.707,5579.28,863.934,1105.732,1382.025,,
50541,T47D,200863,EFNA1,100,ng/ml,7342.731,5507.169,6710.471,2143.446,1001.807,2292.065,,
50556,UACC-812,200863,EFNA1,1,ng/ml,2925.14,3580.596,3741.538,25284.602,26781.016,27162.956,,
50556,UACC-812,200863,EFNA1,100,ng/ml,3557.127,3474.741,3993.999,26080.072,25366.339,27820.807,,
50557,UACC-893,200863,EFNA1,1,ng/ml,23796.215,25391.678,29186.956,2073.098,2073.098,2073.098,,
50557,UACC-893,200863,EFNA1,100,ng/ml,25172.049,23645.127,24548.663,2073.098,2073.098,2073.098,,
50574,ZR-75-1,200863,EFNA1,1,ng/ml,4320.22,3674.803,4367.997,493.818,40.038,264.21,,
50574,ZR-75-1,200863,EFNA1,100,ng/ml,2503.554,2276.762,2802.448,473.324,40.038,2186.61,,
50575,ZR-75-30,200863,EFNA1,1,ng/ml,7968.844,6327.133,8227.875,17907.683,15740.849,18508.456,,
50575,ZR-75-30,200863,EFNA1,100,ng/ml,7911.186,6482.552,7644.476,17494.76,16653.886,17457.392,,
50576,184B5,200863,EFNA1,1,ng/ml,4866.993,3775.393,6134.569,8463.998,8195.148,8655.288,,
50576,184B5,200863,EFNA1,100,ng/ml,4889.687,4007.663,5871.324,8963.597,8829.865,11060.969,,
50578,HCC1187,200863,EFNA1,1,ng/ml,14879.427,14313.689,14201.105,666.493,248.314,248.314,,
50578,HCC1187,200863,EFNA1,100,ng/ml,14082.462,13744.71,13905.202,248.314,248.314,430.693,,
50579,HCC1500,200863,EFNA1,1,ng/ml,1244.241,1905.094,1879.093,3077.164,3077.164,3077.164,,
50579,HCC1500,200863,EFNA1,100,ng/ml,1904.231,1244.241,2147.2,3077.164,3077.164,3077.164,,
50583,MCF 10A,200863,EFNA1,1,ng/ml,3219.129,3982.677,3322.226,2283.039,1501.013,4171.132,,
50583,MCF 10A,200863,EFNA1,100,ng/ml,2570.497,1824.179,2833.368,3138.594,1934.824,3116.423,,
50584,MCF 10F,200863,EFNA1,1,ng/ml,1859.889,2128.428,2166.259,407.425,407.425,407.425,,
50584,MCF 10F,200863,EFNA1,100,ng/ml,2417.639,1401.265,2373.296,407.425,407.425,407.425,,
51089,MCF12A,200863,EFNA1,1,ng/ml,2358.959,1222.32,1640.202,6494.89,7154.441,7267.205,,
51089,MCF12A,200863,EFNA1,100,ng/ml,3190.531,1259.428,2248.474,6903.185,6980.529,9355.272,,
50029,MCF7,200850,EGF,1,ng/ml,889.109,889.109,889.109,12658.858,3366.83,2506.377,,
50029,MCF7,200850,EGF,100,ng/ml,889.109,2359.565,889.109,24821.943,6643.644,991.453,,
50057,SK-BR-3,200850,EGF,1,ng/ml,20647.713,21261.219,10369.594,38617.435,36741.294,26553.726,,
50057,SK-BR-3,200850,EGF,100,ng/ml,43123.148,39832.24,33116.814,44073.244,39729.902,30419.278,,
50058,MDA-MB-231,200850,EGF,1,ng/ml,4642.008,3131.583,3312.643,9821.498,10554.475,6795.803,,
50058,MDA-MB-231,200850,EGF,100,ng/ml,9121.857,6022.701,1954.059,18425.174,10493.72,6994.028,,
50091,AU565,200850,EGF,1,ng/ml,9444.647,12910.575,6958.257,38478.592,36797.874,25765.691,,
50091,AU565,200850,EGF,100,ng/ml,24894.263,28920.575,21243.051,47368.373,41974.351,30625.868,,
50105,BT-20,200850,EGF,1,ng/ml,12993.253,13463.127,14324.599,27097.42,25151.619,21070.519,,
50105,BT-20,200850,EGF,100,ng/ml,13817.494,14973.899,14572.769,29698.081,27654.341,22950.444,,
50106,BT-474,200850,EGF,1,ng/ml,20332.122,19659.014,18339.519,19722.845,15614.296,16131.928,,
50106,BT-474,200850,EGF,100,ng/ml,38916.86,31881.096,38849.781,41284.015,24094.731,15436.438,,
50107,BT-483,200850,EGF,1,ng/ml,3436.078,3057.472,3426.584,5966.341,2667.6,2840.973,,
50107,BT-483,200850,EGF,100,ng/ml,4352.428,3376.26,2892.412,31488.114,6414.271,972.674,,
50108,BT-549,200850,EGF,1,ng/ml,11103.536,11109.896,10639.03,7471.475,4437.792,5535.095,,
50108,BT-549,200850,EGF,100,ng/ml,18876.588,15825.695,11755.587,21963.356,15472.601,6414.827,,
50131,CAMA-1,200850,EGF,1,ng/ml,4763.5,3951.495,4977.505,70.213,70.213,70.213,,
50131,CAMA-1,200850,EGF,100,ng/ml,4609.805,6869.833,5299.243,8999.757,5370.537,5104.836,,
50206,HCC1395,200850,EGF,1,ng/ml,16276.153,20293.992,20930.06,12854.867,11796.23,8969.994,,
50206,HCC1395,200850,EGF,100,ng/ml,22130.183,26555.367,19161.139,17436.851,14213.019,2294.372,,
50207,HCC1419,200850,EGF,1,ng/ml,33563.224,29191.696,28052.881,22877.878,19526.451,21158.768,,
50207,HCC1419,200850,EGF,100,ng/ml,43163.268,40898.18,38835.755,35385.44,24274.139,26775.439,,
50208,HCC1428,200850,EGF,1,ng/ml,1040.119,1040.119,1040.119,21679.981,13885.017,11567.655,,
50208,HCC1428,200850,EGF,100,ng/ml,1040.119,1040.119,1040.119,38853.133,21315.366,5790.39,,
50210,HCC1569,200850,EGF,1,ng/ml,35358.151,36056.166,31485.668,37053.583,29831.653,21566.837,,
50210,HCC1569,200850,EGF,100,ng/ml,60275.084,62456.449,54663.867,46514.408,34548.83,21367.269,,
50211,HCC1806,200850,EGF,1,ng/ml,12485.493,21448.401,26585.484,43243.532,48214.969,42064.028,,
50211,HCC1806,200850,EGF,100,ng/ml,27420.066,23248.347,18106.512,62832.384,57271.309,42289.133,,
50212,HCC1937,200850,EGF,1,ng/ml,9543.655,6229.623,7802.495,31732.902,22160.005,21920.956,,
50212,HCC1937,200850,EGF,100,ng/ml,17611.262,15221.575,10589.414,41593.811,33602.098,22239.371,,
50213,HCC1954,200850,EGF,1,ng/ml,5258.076,5199.827,7444.781,37518.567,35495.881,34240.055,,
50213,HCC1954,200850,EGF,100,ng/ml,9116.836,9842.171,8653.773,39534.384,38394.8,35174.925,,
50214,HCC202,200850,EGF,1,ng/ml,59840.103,56254.991,56612.818,22293.954,24438.102,22384.115,,
50214,HCC202,200850,EGF,100,ng/ml,67283.609,61799.814,62621.644,53226.564,37691.869,22421.541,,
50216,HCC38,200850,EGF,1,ng/ml,6308.372,5692.878,5183.436,33243.614,27796.177,21517.035,,
50216,HCC38,200850,EGF,100,ng/ml,13886.106,12036.464,5206.491,55052.499,42248.934,14382.271,,
50219,HCC70,200850,EGF,1,ng/ml,25551.381,27912.107,30761.325,22945.473,14309.047,15725.894,,
50219,HCC70,200850,EGF,100,ng/ml,37221.786,46284.714,39711.936,45388.13,22820.846,12416.665,,
50238,Hs 578T,200850,EGF,1,ng/ml,24107.616,19588.108,21994.683,37397.317,24971.456,19077.687,,
50238,Hs 578T,200850,EGF,100,ng/ml,88911.665,79179.298,32318.227,67988.029,54467.012,14984.029,,
50327,MDA-MB-134-VI,200850,EGF,1,ng/ml,842.221,842.221,842.221,2006.297,1080.612,1970.868,,
50327,MDA-MB-134-VI,200850,EGF,100,ng/ml,842.221,842.221,842.221,1232.26,1279.717,1873.022,,
50328,MDA-MB-157,200850,EGF,1,ng/ml,1653.677,1620.618,1069.932,9665.453,13672.503,11797.702,,
50328,MDA-MB-157,200850,EGF,100,ng/ml,6906.457,3041.335,1608.042,24310.36,17491.34,6589.414,,
50329,MDA-MB-175-VII,200850,EGF,1,ng/ml,14083.448,13673.646,11773.952,30546.115,27871.081,28856.208,,
50329,MDA-MB-175-VII,200850,EGF,100,ng/ml,15204.751,15115.139,10646.837,36863.211,37947.517,34757.609,,
50331,MDA-MB-361,200850,EGF,1,ng/ml,2414.443,2423.399,2441.109,1220.772,430.274,166.17,,
50331,MDA-MB-361,200850,EGF,100,ng/ml,2843.027,3131.667,3113.347,3706.752,2691.859,166.17,,
50332,MDA-MB-415,200850,EGF,1,ng/ml,26801.299,28915.868,32764.538,915.302,43.437,43.437,,
50332,MDA-MB-415,200850,EGF,100,ng/ml,16394.385,33224.703,38073.2,191.922,43.437,272.26,,
50333,MDA-MB-436,200850,EGF,1,ng/ml,9534.902,9565.551,8549.929,18140.015,20266.644,16311.812,,
50333,MDA-MB-436,200850,EGF,100,ng/ml,15801.25,15543.04,10567.744,26790.781,23793.323,18351.433,,
50334,MDA-MB-453,200850,EGF,1,ng/ml,6375.39,6002.649,5996.103,3673.941,2682.634,2164.265,,
50334,MDA-MB-453,200850,EGF,100,ng/ml,7928.692,7199.426,7406.392,6227.723,2326.526,2481.972,,
50335,MDA-MB-468,200850,EGF,1,ng/ml,41066.018,40361.657,43834.43,32799.771,28308.127,25669.569,,
50335,MDA-MB-468,200850,EGF,100,ng/ml,58243.756,61057.32,57932.591,52196.362,46258.301,34920.849,,
50541,T47D,200850,EGF,1,ng/ml,15512.957,14469.904,20340.839,34340.349,27463.179,29644.486,,
50541,T47D,200850,EGF,100,ng/ml,32590.282,28524.029,16403.595,41207.382,33970.629,22897.03,,
50556,UACC-812,200850,EGF,1,ng/ml,4088.267,3856.133,3829.914,26779.85,25060.983,27673.068,,
50556,UACC-812,200850,EGF,100,ng/ml,5437.279,5007.771,7852.107,42670.303,37916.067,34705.816,,
50557,UACC-893,200850,EGF,1,ng/ml,26398.185,27553.748,29782.969,2073.098,2073.098,3866.419,,
50557,UACC-893,200850,EGF,100,ng/ml,30271.52,40095.147,26022.549,4898.405,7235.28,2073.098,,
50574,ZR-75-1,200850,EGF,1,ng/ml,6661.261,5194.032,5279.243,21914.451,13346.017,18080.107,,
50574,ZR-75-1,200850,EGF,100,ng/ml,28339.922,12390.781,4867.609,71799.495,33935.073,8203.111,,
50575,ZR-75-30,200850,EGF,1,ng/ml,6006.178,6379.427,6279.593,16832.632,16177.932,15039.417,,
50575,ZR-75-30,200850,EGF,100,ng/ml,7662.029,8553.341,21840.736,17149.954,15509.764,20842.275,,
50576,184B5,200850,EGF,1,ng/ml,13047.032,6990.157,6174.303,33115.468,31061.535,22431.793,,
50576,184B5,200850,EGF,100,ng/ml,31495.158,20879.82,11778.899,41110.735,34243.871,21844.528,,
50578,HCC1187,200850,EGF,1,ng/ml,23903.903,25706.797,35329.983,16753.62,14215.816,17684.572,,
50578,HCC1187,200850,EGF,100,ng/ml,66520.546,56373.612,43113.78,26154.11,24175.569,19091.754,,
50579,HCC1500,200850,EGF,1,ng/ml,2583.102,1244.241,1244.241,3077.164,3077.164,3077.164,,
50579,HCC1500,200850,EGF,100,ng/ml,1244.241,1872.512,2612.017,3077.164,3077.164,3077.164,,
50583,MCF 10A,200850,EGF,1,ng/ml,7906.507,5034.443,5578.126,21700.229,14222.345,9706.082,,
50583,MCF 10A,200850,EGF,100,ng/ml,25185.74,14604.287,9794.445,25997.344,15469.719,12210.413,,
50584,MCF 10F,200850,EGF,1,ng/ml,4481.293,2493.404,3541.304,16742.924,11929.933,10555.099,,
50584,MCF 10F,200850,EGF,100,ng/ml,8487.768,3697.177,2603.383,32541.708,19901.04,7550.854,,
51089,MCF12A,200850,EGF,1,ng/ml,2075.894,1924.945,2202.508,7564.023,9392.173,12338.691,,
51089,MCF12A,200850,EGF,100,ng/ml,4467.585,2577.69,1636.379,20797.897,18381.422,18795.9,,
50029,MCF7,200851,EPR,1,ng/ml,889.109,889.109,2238.91,1848.922,248.778,849.024,,
